ID,cap,uncap,dhh1_1,Assigned_gene_name
968,5,1,0.8333333333333334,YDL075W
969,13210,7562,0.6359522434045831,YDL075W
971,70,106,0.3977272727272727,YDL073W
972,43,24,0.6417910447761194,YDL070W
973,849,443,0.6571207430340558,YDL070W
975,6,11,0.35294117647058826,YDL066W
976,2483,1577,0.611576354679803,YDL066W
978,494,405,0.5494994438264739,YDL064W
979,180,259,0.41002277904328016,YDL060W
980,114,261,0.304,YDL058W
981,19,92,0.17117117117117114,YDL057W
984,144,81,0.64,YDL056W
987,590,1210,0.3277777777777778,YDL051W
990,4,3,0.5714285714285714,YDL047W
991,693,288,0.7064220183486238,YDL047W
992,3276,7818,0.2952947539210384,YDL046W
993,1092,1081,0.5025310630464795,YDL045W-A
1003,96,91,0.5133689839572193,YDL031W
1005,100,56,0.6410256410256411,YDL030W
1007,1099,493,0.6903266331658291,YDL029W
1010,8,5,0.6153846153846154,YDL026W
