ID,wt_a,pat_a,m/w,log
12700,0.7555555555555555,0.6161654135338346,0.82,-0.2863041851566411
12705,0.9766064514919336,0.93600507808205,0.96,-0.058893689053568565
12706,0.8283807751577356,0.6446213657009418,0.78,-0.3584539709124763
12713,0.8640603261630156,0.7303097088504814,0.85,-0.23446525363702297
12715,0.5421004447853124,0.3663701859469342,0.68,-0.5563933485243852
12720,0.5477941176470588,0.3407335907335908,0.62,-0.6896598793878495
12721,0.8967467490197859,0.8816286603162384,0.98,-0.029146345659516508
12723,0.4189751529464026,0.2663903251202179,0.64,-0.6438561897747246
12725,0.7834506342200485,0.6944952483414022,0.89,-0.16812275880832692
12726,0.7612631098951208,0.5412048877522023,0.71,-0.49410907027004275
12727,0.7860857432775241,0.579742974500793,0.74,-0.4344028241457749
12730,0.7166137433994577,0.5840327294427273,0.81,-0.3040061868900999
12732,0.8335662599206033,0.7080073204388255,0.85,-0.23446525363702297
12733,0.6957578212007693,0.4659083894067535,0.67,-0.5777669993169522
12742,0.8532756031439549,0.6338692223507278,0.74,-0.4344028241457749
12745,0.7813179042108647,0.6749206581582236,0.86,-0.2175914350726268
12750,0.7176535087719298,0.5783887673852738,0.81,-0.3040061868900999
12751,0.6070744902205576,0.5304347826086957,0.87,-0.20091269392599642
12753,0.6752716107699575,0.39770921071818105,0.59,-0.7612131404128835
12754,0.9016535730535022,0.8518843561902789,0.94,-0.08926733809708741
12759,0.7302642832706123,0.5191993464052288,0.71,-0.49410907027004275
12761,0.7407142729530309,0.6369232360852473,0.86,-0.2175914350726268
12762,0.6075583591448214,0.4886659336631849,0.8,-0.3219280948873623
12763,0.8006943905467808,0.6403513655747637,0.8,-0.3219280948873623
12764,0.7021004113895263,0.5438796895544089,0.77,-0.3770696490798233
12765,0.7556166743985685,0.5684288684288684,0.75,-0.4150374992788438
12766,0.5204436491322844,0.3566675480345497,0.69,-0.5353317329965557
12770,0.5145975734791525,0.2520206060308769,0.49,-1.0291463456595165
12773,0.738265429486792,0.5700000000000001,0.77,-0.3770696490798233
