ID,wt_a,dhh_a,m/w,log
2896,0.8514036163828091,0.5925061237955439,0.7,-0.5145731728297583
2901,0.6779303886374278,0.652269117313365,0.96,-0.058893689053568565
2902,0.8873962264150943,0.7263851044504995,0.82,-0.2863041851566411
2903,0.6809090909090909,0.4172049689440994,0.61,-0.7131188522118385
2904,0.7439618700797943,0.3709330377518419,0.5,-1.0
2905,0.4433479532163743,0.1694915254237288,0.38,-1.3959286763311392
2908,0.6501467498731707,0.2749763112061098,0.42,-1.2515387669959646
2916,0.6713173189335964,0.4999347458666703,0.74,-0.4344028241457749
2917,0.5454439213329326,0.26834108527131784,0.49,-1.0291463456595165
2919,0.7436527436527436,0.4561349058555762,0.61,-0.7131188522118385
2927,0.5786390987069517,0.4338135583398045,0.75,-0.4150374992788438
2928,0.4312297534558224,0.2144562650036363,0.5,-1.0
2929,0.8303821656050956,0.6490000896780558,0.78,-0.3584539709124763
2931,0.7151638503112814,0.4906700946742865,0.69,-0.5353317329965557
2933,0.6843244111326412,0.3556106747036004,0.52,-0.9434164716336325
2940,0.6839646952712279,0.37986025165016496,0.56,-0.8365012677171204
2941,0.6833480695549661,0.3669261780560264,0.54,-0.888968687611256
2942,0.6564408911246856,0.4371468208797463,0.67,-0.5777669993169522
2943,0.7222222222222222,0.42445482866043616,0.59,-0.7612131404128835
2944,0.6348001038421599,0.2945525783619818,0.46,-1.1202942337177118
2948,0.4961518314058912,0.216138925729443,0.44,-1.1844245711374275
2952,0.6285852812085333,0.3829273468002037,0.61,-0.7131188522118385
2958,0.470407196969697,0.12875536480686695,0.27,-1.8889686876112561
2961,0.7941726699164213,0.5144829431738734,0.65,-0.6214883767462702
2962,0.8045112781954887,0.6941331575477917,0.86,-0.2175914350726268
2965,0.8527177887759406,0.8087567498556452,0.95,-0.07400058144377693
2967,0.6748210800260247,0.3817354368932039,0.57,-0.8109661756099832
2968,0.84975,0.5745687972607313,0.68,-0.5563933485243852
2970,0.8837488611380354,0.6488731224778195,0.73,-0.4540316308947075
2972,0.5171517671517671,0.24236921881611898,0.47,-1.0892673380970874
2974,0.6270551471893754,0.5234346588663136,0.83,-0.2688167584278
2975,0.8409340659340659,0.4956246920292933,0.59,-0.7612131404128835
2977,0.6125294811320754,0.3554520981975676,0.58,-0.7858751946471527
2981,0.5678819782933646,0.29532873850161445,0.52,-0.9434164716336325
2983,0.807155530838696,0.3694380522510052,0.46,-1.1202942337177118
2990,0.8037171725736081,0.5170679989543091,0.64,-0.6438561897747246
2992,0.3945967636268344,0.20552104260031934,0.52,-0.9434164716336325
2997,0.4200075287031809,0.1958219712473436,0.47,-1.0892673380970874
2998,0.5614035087719298,0.48325,0.86,-0.2175914350726268
3001,0.7888747676479488,0.5122007832648772,0.65,-0.6214883767462702
3003,0.7752084648092781,0.6338491962292346,0.82,-0.2863041851566411
3004,0.8483669315758868,0.84849936540328,1.0,0.0
3008,0.6289432943955258,0.33283301434738266,0.53,-0.9159357352115255
3009,0.7917847335610884,0.4887724096762829,0.62,-0.6896598793878495
3012,0.8998550724637682,0.7413899626132692,0.82,-0.2863041851566411
3014,0.6921719578495201,0.3554495782208589,0.51,-0.9714308478032291
3015,0.8602302201859179,0.5924124513618676,0.69,-0.5353317329965557
3016,0.6860845844811428,0.4168130999187295,0.61,-0.7131188522118385
3022,0.6404782698841704,0.4604263346596782,0.72,-0.47393118833241243
3025,0.5964593324078749,0.37955575539908143,0.64,-0.6438561897747246
3027,0.6752314814814815,0.3625261233019854,0.54,-0.888968687611256
3029,0.7368094351334575,0.6785915975014973,0.92,-0.12029423371771177
3033,0.4826869806094183,0.2977159961169238,0.62,-0.6896598793878495
3036,0.9240177610333692,0.7120993218861362,0.77,-0.3770696490798233
3038,0.6375828173447557,0.34516668615160484,0.54,-0.888968687611256
3039,0.9380974376740188,0.7244039162052467,0.77,-0.3770696490798233
3041,0.9503458167434378,0.8115700143871609,0.85,-0.23446525363702297
3057,0.552608066712049,0.3113936526710033,0.56,-0.8365012677171204
3064,0.4840558748525102,0.2723053718528832,0.56,-0.8365012677171204
3067,0.6931154454401687,0.3146353778461687,0.45,-1.15200309344505
