ID,cap,uncap,wt1,Assigned_gene_name
827,262,67,0.7963525835866262,YDL207W
828,71,29,0.71,YDL206W
829,129,29,0.8164556962025317,YDL204W
830,27,25,0.5192307692307693,YDL204W
831,444,102,0.8131868131868132,YDL202W
832,552,209,0.7253613666228647,YDL201W
835,14,12,0.5384615384615384,YDL196W
836,1040,498,0.6762028608582574,YDL195W
839,54,29,0.6506024096385542,YDL194W
840,277,324,0.4608985024958402,YDL193W
841,31,29,0.5166666666666667,YDL193W
842,12506,6550,0.6562762384550798,YDL192W
845,47966,74130,0.3928548027781418,YDL191W
847,147,224,0.3962264150943397,YDL189W
849,1156,473,0.7096378146101903,YDL185W
852,540,501,0.5187319884726225,YDL182W
854,4844,1672,0.7434008594229589,YDL181W
855,71,46,0.6068376068376068,YDL180W
856,36,34,0.5142857142857142,YDL179W
857,170,115,0.5964912280701754,YDL179W
858,357,192,0.6502732240437158,YDL178W
861,46,84,0.3538461538461539,YDL176W
862,255,94,0.7306590257879656,YDL173W
863,128,73,0.6368159203980099,YDL170W
864,314,286,0.5233333333333333,YDL168W
865,16,12,0.5714285714285714,YDL165W
866,179,276,0.3934065934065934,YDL165W
867,2,0,1.0,YDL161W
868,815,351,0.6989708404802745,YDL161W
870,0,1,0.0,YDL159W-A
871,70,105,0.4,YDL159W
872,6,2,0.75,YDL156W
873,291,32,0.9009287925696594,YDL155W
875,206,267,0.4355179704016913,YDL150W
876,41,20,0.6721311475409836,YDL149W
877,2187,775,0.738352464550979,YDL147W
880,119,20,0.8561151079136691,YDL146W
882,1416,648,0.686046511627907,YDL143W
883,342,191,0.6416510318949343,YDL141W
884,10,2,0.8333333333333334,YDL141W
887,110,25,0.8148148148148148,YDL138W
889,2998,4810,0.3839651639344263,YDL137W
891,15740,19813,0.4427193204511574,YDL136W
896,4,18,0.18181818181818185,YDL133W
897,90,39,0.6976744186046512,YDL133W
898,52,8,0.8666666666666667,YDL133W
900,191,116,0.6221498371335505,YDL132W
901,676,164,0.8047619047619048,YDL131W
902,798,74,0.9151376146788992,YDL130W-A
904,40587,8969,0.8190128339656146,YDL130W
906,110,82,0.5729166666666666,YDL129W
907,1747,721,0.7078606158833063,YDL128W
909,3,5,0.375,YDL127W
